City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
129,Carnarvon,-24.8667,113.6333,68.07,94,100,6.91,AU,2022-06-15 18:43:42
130,Sistranda,63.7256,8.834,53.56,90,100,6.69,NO,2022-06-15 18:44:30
131,Tilichiki,60.4667,166.1,47.07,79,100,6.82,RU,2022-06-15 18:44:31
132,Carballo,43.213,-8.691,74.43,76,100,4.72,ES,2022-06-15 18:44:31
133,Hobart,-42.8794,147.3294,45.27,95,100,0.0,AU,2022-06-15 18:43:38
134,Olafsvik,64.8945,-23.7142,49.55,70,44,15.14,IS,2022-06-15 18:44:31
135,Nome,64.5011,-165.4064,42.87,87,100,14.97,US,2022-06-15 18:44:43
136,Ambon,-3.6954,128.1814,76.23,16,40,3.44,ID,2022-06-15 18:45:22
137,Georgetown,5.4112,100.3354,78.89,92,40,4.61,MY,2022-06-15 18:40:12
138,Alice Springs,-23.7,133.8833,42.35,87,7,0.0,AU,2022-06-15 18:44:01
139,Ajdabiya,30.7554,20.2263,75.58,69,0,15.97,LY,2022-06-15 18:45:32
140,Escarcega,18.6089,-90.7454,98.71,26,98,7.94,MX,2022-06-15 18:45:32
141,Kahului,20.8947,-156.47,78.82,81,40,13.8,US,2022-06-15 18:43:49
142,Grindavik,63.8424,-22.4338,51.75,66,40,20.71,IS,2022-06-15 18:45:32
143,Helong,42.5397,128.9972,51.08,97,37,4.25,CN,2022-06-15 18:45:33
144,Katsuura,35.1333,140.3,66.22,93,100,4.5,JP,2022-06-15 18:44:58
145,Mount Gambier,-37.8333,140.7667,53.51,94,100,12.66,AU,2022-06-15 18:45:33
146,Narsaq,60.9167,-46.05,53.82,67,11,8.84,GL,2022-06-15 18:44:39
147,Businga,3.3333,20.8833,74.73,84,100,1.74,CD,2022-06-15 18:45:33
148,Longyearbyen,78.2186,15.6401,40.84,70,75,12.66,SJ,2022-06-15 18:44:27
149,Buka,40.8108,69.1986,79.07,32,6,0.81,UZ,2022-06-15 18:45:34
150,Basoko,1.2391,23.616,74.64,83,100,3.04,CD,2022-06-15 18:45:34
